,x_cord,y_cord,Condition
92,"636,647,660,669,672,674,674,675,676,680,682,686,689,692,695,698,701,704,707,711,714,717,720,723,726,729,733,737,745,751,758,770,782,793,808,828,838,846,850,853,856,858,861,863,868,870,874,877,880,882,883,884,884,886,889,892,895,896","565,553,540,526,520,518,516,514,511,505,499,490,484,480,472,466,462,457,450,444,438,433,428,423,419,414,408,404,396,391,386,380,374,369,364,358,354,351,348,346,344,342,340,338,333,328,323,320,316,312,310,308,305,301,298,294,292,290",2
93,,,
94,,,
95,,,
96,"634,634,635,639,645,650,657,662,667,672,682,692,702,708,722,732,740,748,758,768,782,798,825,833,852,866,877,886,892,898,902,903,904,904,904","575,568,557,541,516,500,482,462,445,428,412,398,386,376,360,350,343,336,330,326,320,313,304,302,300,300,301,301,301,299,297,297,297,296,296",1
97,,,
98,,,
99,,,
100,"641,641,642,644,648,649,658,661,674,686,696,704,707,708,708,705,700,688,674,656,642,628,616,604,593,576,562,545,528,510,494,470,460,452,449,444,438,432,429,426,422,419,416,412,410,406,404,401,399,395,392,390,388","570,564,560,558,550,546,528,521,500,484,469,456,446,439,434,428,420,408,395,382,370,362,354,348,344,338,334,330,325,321,318,313,310,307,304,302,298,296,294,292,290,290,289,289,289,290,290,291,292,294,294,295,295",2
101,,,
102,,,
103,,,
104,"633,636,640,644,648,649,649,649,648,647,644,639,628,618,606,592,579,566,554,540,528,515,496,484,474,466,458,448,436,428,418,414,411,408,406,402,399,398,397,396,396,408,428,454,564,661,761,855,914,937,939,940,940,940,940,936,932,928,924,922,919,916,912,909,906,903,901,899,898,896,895","556,548,528,510,497,488,486,484,480,474,467,456,441,430,421,417,412,408,403,397,390,381,370,364,360,357,353,348,342,338,332,328,326,323,320,317,313,312,310,309,308,306,304,300,284,275,262,252,246,242,242,242,243,246,248,252,256,259,263,266,268,271,276,278,281,284,286,289,291,294,295",1
105,,,
106,,,
107,,,
108,"640,641,643,646,648,648,646,645,644,642,638,636,633,630,624,620,614,612,609,606,603,600,596,590,586,580,575,567,558,549,533,521,509,498,486,474,463,454,448,445,440,435,430,426,422,419,414,412,409,407,405,404,403,401,397,394,391,390,387,385","566,562,557,548,540,530,524,518,514,510,506,502,496,491,480,474,468,465,462,459,456,454,447,442,438,433,429,426,422,418,411,404,396,388,380,372,365,360,355,352,348,346,342,339,336,333,328,326,323,321,318,317,316,315,310,308,305,303,300,298",2
109,,,
110,,,
111,,,
112,"650,655,668,683,697,714,721,730,741,750,759,767,776,786,794,808,817,826,834,845,858,868,877,880,882,885,888,891,894,896,898,902,904,907,908","554,548,532,514,500,478,469,460,448,436,424,412,400,388,378,360,353,346,336,326,314,306,299,296,294,291,289,288,287,287,286,286,286,286,286",1
113,,,
114,,,
115,,,
116,"652,652,652,652,652,648,644,639,635,632,628,624,620,618,618,618,619,622,628,636,648,662,690,711,730,741,748,751,756,766,782,806,846,870,887,898,902,903,905,906,906,908","568,565,561,554,546,534,523,507,498,486,475,463,452,444,437,434,430,424,416,407,398,387,368,359,350,345,341,339,338,334,330,325,312,306,302,301,300,300,300,300,299,299",1
117,,,
118,,,
119,,,
